"Cessna 188 Ag Truck                   ",3, 6.3400, 51.405,0     , 1255.0442, 19.1386,2850,1.0973,-0.3658, 3.6272,1,0     , 0     ,0.7986,-0.4206,-0.1524,3
"Croplease NAC-6 Fieldmaster           ",3, 8.1657, 71.520,0     , 3343.9129, 37.6268,2650,1.3411, 0.2438, 5.6084,1,0     , 0     ,0.5395,-0.3048,-0.1524,3
"Piper Navajo                          ",3, 6.2180,101.022,0     , 2381.3194, 19.9747,2575,1.0973, 0     , 3.5967,2,1.7983, 0     ,0.3048,-0.3048,-0.1524,1
"Piper New Brave                       ",3, 5.9132, 53.640,0     , 1664.9286, 21.4612,2500,1.0668, 0     , 3.9015,1,0     , 0     ,0.6584,-0.3048,-0.1524,1
"Piper PA-18-150 Super Cub             ",3, 5.3950, 40.230,0     ,  680.1179, 16.7230,2700,0.7010,-0.6706, 3.0480,1,0     , 0     ,0     ,-0.3048,-0.1524,3
"Piper PA-25 Pawnee                    ",3, 5.5169, 44.700,0     ,  974.8356, 17.6521,2575,1.0668,-0.2438, 3.4748,1,0     , 0     ,0.4206,-0.3048,-0.1524,3
"Piper PA-36 Brave                     ",3, 5.9132, 53.640,0     , 1491.7252, 21.4612,2700,1.2192, 0     , 3.9015,1,0     , 0     ,0.6584,-0.3048,-0.1524,3
"PZL Mielec M-18B Dromader             ",3, 8.8393, 53.640,0     , 3854.0014, 41.6218,1250,1.6459,-0.3658, 4.2063,1,0     , 0     ,0.7803,-0.3048,-0.1524,3
"PZL Mielec T-45 Dromader Turbine      ",3, 8.8393, 58.110,0     , 3990.0249, 40.1353,1500,1.6459,-0.3658, 6.0961,1,0     , 0     ,0.5395,-0.3048,-0.1524,1
"Stearman N2S-3                        ",3, 4.9043, 42.912,1.5240,  974.8356, 26.9427,1950,1.3716, 0.4877, 3.3528,1,0     , 0     ,0     ,-0.3048,-0.1524,1
"Weatherly 201A/B                      ",3, 5.9437, 55.428,0     , 1666.2888, 24.9916,2300,1.3107, 0.5334, 3.7491,1,0     , 0     ,0.4206,-0.3048,-0.1524,1
"Weatherly 620A/B/BTG                  ",3, 6.2485, 57.216,0     , 2131.0360, 25.7349,2000,1.3107, 0.5334, 3.7491,1,0     , 0     ,0.4206,-0.3048,-0.1524,3
"Weatherly 620TP                       ",3, 6.2485, 60.345,0     , 1904.3301, 24.9916,2200,1.3107, 0.5334, 3.7491,1,0     , 0     ,0.4206,-0.3048,-0.1524,1
"Aerodyne Wasp                         ",4, 5.3036, 27.714,0     ,  947.6309,  0     , 320,0     , 0     , 0     ,1,0     , 0     ,0     ,-2.8408, 0     ,1
"Aerospatiale SA-315B Lama             ",4, 5.5078, 41.124,0     , 1599.1839,  0     , 358,0     , 0     , 0     ,1,0     , 0     ,0     ,-2.8011, 0     ,3
"Aerospatiale SA-316B Alouette III     ",4, 5.5078, 41.124,0     , 1524.3709,  0     , 353,0     , 0     , 0     ,1,0     , 0     ,0     ,-2.2677, 0     ,1
"Aerospatiale SA-318C Alouette II      ",4, 5.1024, 41.124,0     , 1271.8204,  0     , 358,0     , 0     , 0     ,1,0     , 0     ,0     ,-2.2677, 0     ,3
"Aerospatiale SA-319B Alouette III     ",4, 5.5078, 41.124,0     , 1702.1084,  0     , 358,0     , 0     , 0     ,1,0     , 0     ,0     ,-2.2677, 0     ,1
"Aerospatiale SA-330 Puma              ",4, 7.4982, 68.838,0     , 5580.5940,  0     , 265,0     , 0     , 0     ,1,0     , 0     ,0     ,-2.5543, 0     ,1
"Aerospatiale SA-341G Gazelle          ",4, 5.2518, 41.124,0     , 1387.4405,  0     , 358,0     , 0     , 0     ,1,0     , 0     ,0     ,-2.4567, 0     ,1
"Aerospatiale SA-360 Daughin           ",4, 5.7516, 61.686,0     , 2357.7420,  0     , 348,0     , 0     , 0     ,1,0     , 0     ,0     ,-3.2187, 0     ,1
"Bell 204B                             ",4, 7.3153, 41.124,0     , 3015.1893,  0     , 309,0     , 0     , 0     ,1,0     , 0     ,0     ,-3.2187, 0     ,3
"Bell 205                              ",4, 7.3153, 41.124,0     , 3489.9116,  0     , 309,0     , 0     , 0     ,1,0     , 0     ,0     ,-3.2187, 0     ,3
"Bell 212                              ",4, 7.3458, 41.124,0     , 3892.9948,  0     , 400,0     , 0     , 0     ,1,0     , 0     ,0     ,-3.5052, 0     ,1
"Bell 214B                             ",4, 7.6201, 41.124,0     , 5440.9431,  0     , 400,0     , 0     , 0     ,1,0     , 0     ,0     ,-3.1730, 0     ,1
"Bell 412                              ",4, 7.0105, 41.124,0     , 4164.5885,  0     , 400,0     , 0     , 0     ,1,0     , 0     ,0     ,-3.5052, 0     ,1
"Bell 47G-3B-2                         ",4, 5.6602, 25.926,0     , 1098.1637,  0     , 370,0     , 0     , 0     ,1,0     , 0     ,0     ,-2.4567, 0     ,3
"Bell Soloy Turbine 47                 ",4, 5.6602, 25.926,0     , 1099.5239,  0     , 394,0     , 0     , 0     ,1,0     , 0     ,0     ,-2.4567, 0     ,1
"Bell 206B JetRanger II                ",4, 5.0811, 30.843,0     ,  930.8547,  0     , 384,0     , 0     , 0     ,1,0     , 0     ,0     ,-2.7432, 0     ,3
"Bell 206B JetRanger III               ",4, 5.0811, 30.843,0     , 1087.2818,  0     , 384,0     , 0     , 0     ,1,0     , 0     ,0     ,-2.7432, 0     ,1
"Bell 206L LongRanger III              ",4, 5.6389, 30.843,0     , 1434.5953,  0     , 394,0     , 0     , 0     ,1,0     , 0     ,0     ,-2.7432, 0     ,3
"Enstrom F28F                          ",4, 4.8769, 25.926,0     ,  929.4944,  0     , 350,0     , 0     , 0     ,1,0     , 0     ,0     ,-2.2190, 0     ,3
"Hiller FH-1100                        ",4, 5.3950, 30.843,0     ,  939.9229,  0     , 394,0     , 0     , 0     ,1,0     , 0     ,0     ,-2.3622, 0     ,3
"Hiller UH-12E3                        ",4, 5.3950, 25.926,0     , 1101.7910,  0     , 370,0     , 0     , 0     ,1,0     , 0     ,0     ,-2.6487, 0     ,3
"Hiller RH-1100                        ",4, 5.3950, 30.843,0     ,  918.1591,  0     , 394,0     , 0     , 0     ,1,0     , 0     ,0     ,-2.3622, 0     ,3
"Hiller Soloy Turbine                  ",4, 5.3950, 25.926,0     , 1074.5863,  0     , 394,0     , 0     , 0     ,1,0     , 0     ,0     ,-2.6487, 0     ,1
"Hiller UH-12E3T                       ",4, 5.3950, 25.926,0     , 1074.5863,  0     , 370,0     , 0     , 0     ,1,0     , 0     ,0     ,-2.6487, 0     ,3
"Hughes 500C Cayuse                    ",4, 4.0112, 41.124,0     ,  828.8370,  0     , 394,0     , 0     , 0     ,1,0     , 0     ,0     ,-2.2860, 0     ,1
"Hynes H-2                             ",4, 3.6119, 20.562,0     ,  605.3049,  0     , 472,0     , 0     , 0     ,1,0     , 0     ,0     ,-1.9812, 0     ,1
"Robinson R22 Beta II                  ",4, 3.8344, 30.843,0     ,  438.9027,  0     , 498,0     , 0     , 0     ,1,0     , 0     ,0     ,-2.1702, 0     ,3
"Sikorsky S-51                         ",4, 7.3153, 30.843,0     , 2062.1174,  0     , 400,0     , 0     , 0     ,1,0     , 0     ,0     ,-3.4108, 0     ,1
"Sikorsky S-55                         ",4, 8.0773, 30.843,0     , 2634.3233,  0     , 400,0     , 0     , 0     ,1,0     , 0     ,0     ,-3.5052, 0     ,3
"Sikorsky S-58                         ",4, 8.5345, 41.124,0     , 4423.4867,  0     , 400,0     , 0     , 0     ,1,0     , 0     ,0     ,-3.1242, 0     ,1
