"AAtrex [atrazine] 1:9       ",0,"D10             ",    0, 2.0684,22.35,3,0.000146,0.000049,0.000033,0.000035,0.000048,0.000074,0.000095,0.000124,0.000176,0.000226,0.000293,0.000470,0.000898,0.001444,0.001946,0.003061,0.005393,0.009240,0.013865,0.021967,0.037540,0.059406,0.086320,0.114557,0.144848,0.163251,0.151618,0.113226,0.069649,0.000000,0.000000,0.000000,10
"AAtrex [atrazine] 1:9       ",0,"D10-45          ",    0, 2.0684,22.35,3,0.000455,0.000289,0.000224,0.000265,0.000399,0.000696,0.001017,0.001496,0.002413,0.003481,0.004980,0.008717,0.017986,0.029922,0.039389,0.057363,0.087752,0.120742,0.133367,0.142838,0.142162,0.108834,0.061844,0.024648,0.007076,0.001412,0.000205,0.000026,0.000003,0.000000,0.000000,0.000000, 7
"AAtrex [atrazine] 1:9       ",0,"RD-10/D10-45    ",    0, 2.0684,22.35,3,0.000189,0.000065,0.000044,0.000047,0.000064,0.000100,0.000129,0.000168,0.000241,0.000310,0.000403,0.000647,0.001237,0.001985,0.002665,0.004164,0.007258,0.012235,0.017977,0.027770,0.046007,0.070262,0.098328,0.124998,0.148295,0.157522,0.134385,0.092008,0.050496,0.000000,0.000000,0.000000,10
"Dipel 6L 1:1                ",1,"AU5000          ", 8000, 3.4474,67.05,3,0.003178,0.005950,0.006444,0.009224,0.016344,0.032641,0.051180,0.074429,0.108767,0.129437,0.136681,0.153760,0.150437,0.083382,0.027944,0.008188,0.001745,0.000239,0.000026,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000, 1
"Dipel 6L 1:2                ",0,"8003            ",  135, 2.7579,26.82,3,0.001273,0.001136,0.000967,0.001209,0.001925,0.003554,0.005453,0.008293,0.013547,0.019315,0.026635,0.043553,0.079630,0.111467,0.120093,0.135584,0.148696,0.128003,0.081124,0.044349,0.018511,0.004729,0.000820,0.000115,0.000015,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000, 3
"Dipel 6L 1:2                ",1,"Beecomist       ", 8700, 1.2411,40.23,3,0.001893,0.002484,0.002398,0.003238,0.005522,0.010882,0.017494,0.027069,0.043566,0.059291,0.076147,0.112282,0.169569,0.174906,0.126084,0.089963,0.052597,0.019286,0.004337,0.000838,0.000135,0.000016,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000, 1
"Dipel 6L 1:2 + Triton 12 oz ",1,"Beecomist       ", 8900, 1.2411,40.23,3,0.002548,0.003638,0.003592,0.004896,0.008384,0.016460,0.026073,0.039330,0.061100,0.079745,0.097732,0.134167,0.180837,0.158527,0.095812,0.055260,0.024242,0.006381,0.001076,0.000172,0.000025,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000, 1
"Dipel 6L 1:2 + Triton 24 oz ",1,"Beecomist       ", 8900, 1.2411,40.23,3,0.002985,0.004191,0.004092,0.005527,0.009367,0.018144,0.028297,0.042026,0.064296,0.082739,0.100061,0.134867,0.178805,0.153241,0.090927,0.051432,0.022120,0.005738,0.000964,0.000155,0.000023,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000, 1
"Dipel 8L + Bond             ",0,"8003            ",   75, 2.8268,29.06,3,0.000799,0.000914,0.000855,0.001139,0.001936,0.003854,0.006388,0.010409,0.018054,0.026937,0.038193,0.063223,0.114659,0.153310,0.148478,0.147262,0.129913,0.083745,0.035183,0.011545,0.002741,0.000411,0.000048,0.000005,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000, 2
"Dipel 8L 1:1                ",0,"8006            ",   90, 2.7579,60.35,3,0.001940,0.002564,0.002479,0.003350,0.005715,0.011261,0.018086,0.027932,0.044834,0.060818,0.077833,0.114227,0.170971,0.174357,0.123986,0.087155,0.049890,0.017817,0.003908,0.000742,0.000118,0.000014,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000, 1
"Dipel 8L 1:1                ",1,"AU5000          ", 7600, 3.1026,60.35,3,0.004348,0.008625,0.009404,0.013389,0.023390,0.045461,0.068586,0.095412,0.131876,0.143564,0.139546,0.137679,0.114136,0.049067,0.012201,0.002768,0.000484,0.000059,0.000006,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000, 0
"Dipel 8L 1:1                ",1,"AU5000          ",12700, 2.7579,60.35,3,0.007264,0.014118,0.014844,0.020400,0.034142,0.062731,0.088923,0.116078,0.146989,0.146030,0.126785,0.111138,0.077851,0.026319,0.005195,0.001009,0.000161,0.000019,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000, 0
"Dipel 8L 1:1                ",1,"Beecomist       ",12700, 2.0684,31.29,3,0.007118,0.012491,0.012702,0.017197,0.028551,0.052432,0.074983,0.099791,0.132276,0.138580,0.131151,0.127063,0.104745,0.045635,0.011826,0.002848,0.000535,0.000070,0.000008,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000, 0
"Dipel 8L 1:1                ",1,"Beecomist       ",12700, 2.8958,22.35,3,0.007069,0.012391,0.012601,0.017064,0.028342,0.052082,0.074547,0.099311,0.131842,0.138397,0.131292,0.127558,0.105581,0.046288,0.012077,0.002924,0.000552,0.000072,0.000008,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000, 0
"Dipel 8L 1:3                ",1,"AU5000          ", 4600, 2.4132,49.17,3,0.002254,0.004206,0.004615,0.006708,0.012136,0.025004,0.040753,0.061712,0.094077,0.117689,0.132527,0.159195,0.171572,0.107546,0.041922,0.014144,0.003380,0.000497,0.000055,0.000007,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000, 1
"Dipel 8L Undiluted          ",0,"8006            ",   90, 2.7579,60.35,3,0.001265,0.001532,0.001450,0.001941,0.003300,0.006531,0.010662,0.016943,0.028344,0.040428,0.054588,0.085494,0.143875,0.170568,0.146789,0.125187,0.093560,0.047749,0.015126,0.003821,0.000738,0.000097,0.000011,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000, 2
"Dipel 8L Undiluted          ",1,"AU5000          ", 7600, 2.7579,60.35,3,0.005509,0.011129,0.012057,0.016978,0.029176,0.055318,0.080963,0.108987,0.143849,0.147739,0.134104,0.122311,0.090544,0.032852,0.006863,0.001371,0.000220,0.000026,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000, 0
"Dipel 8L Undiluted          ",1,"Beecomist       ",12700, 1.0342,31.29,3,0.004090,0.006491,0.006546,0.008955,0.015233,0.029255,0.044544,0.063776,0.092979,0.112528,0.123940,0.148441,0.163206,0.108562,0.047021,0.018249,0.005153,0.000900,0.000114,0.000016,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000, 1
"Dipel 8L Undiluted          ",1,"Beecomist       ",12700, 2.0684,22.35,3,0.009991,0.016589,0.016243,0.021353,0.034365,0.060848,0.083855,0.107727,0.136503,0.137311,0.123838,0.114767,0.089328,0.036074,0.008747,0.002028,0.000376,0.000050,0.000006,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000, 0
"Dipel 8L Undiluted          ",1,"Unimizer        ", 8500, 2.6200,64.82,3,0.008036,0.014868,0.015280,0.020702,0.034215,0.062126,0.087281,0.113374,0.143646,0.143334,0.126033,0.112538,0.081639,0.029254,0.006167,0.001266,0.000212,0.000026,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000, 0
"Dipel Emul 1:3              ",0,"8004            ",   90, 2.7579,53.64,3,0.003448,0.005550,0.005664,0.007829,0.013478,0.026299,0.040774,0.059421,0.088153,0.108658,0.122699,0.149579,0.169980,0.116968,0.052728,0.021284,0.006214,0.001109,0.000141,0.000019,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000, 1
"Dipel Flow 1:3              ",0,"8004            ",   90, 2.7579,53.64,3,0.001538,0.001746,0.001608,0.002111,0.003519,0.006803,0.010842,0.016858,0.027662,0.038859,0.051931,0.080821,0.135992,0.163420,0.144303,0.127774,0.100892,0.056251,0.019988,0.005668,0.001216,0.000174,0.000020,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000, 2
"Esteron [2 4-D]             ",0,"D8              ",    0, 2.0684,22.35,3,0.000205,0.000076,0.000052,0.000057,0.000078,0.000123,0.000161,0.000213,0.000309,0.000404,0.000533,0.000868,0.001689,0.002757,0.003748,0.005902,0.010318,0.017316,0.025121,0.038010,0.061121,0.089808,0.119657,0.140414,0.152495,0.141596,0.103897,0.058361,0.024710,0.000000,0.000000,0.000000,10
"Esteron [2 4-D]             ",0,"D8              ",   45, 2.0684,22.35,3,0.001715,0.000819,0.000585,0.000651,0.000923,0.001490,0.001993,0.002680,0.003924,0.005129,0.006674,0.010574,0.019428,0.028826,0.034741,0.047431,0.069196,0.092998,0.105004,0.117980,0.133259,0.123099,0.093481,0.056937,0.027770,0.009786,0.002382,0.000448,0.000076,0.000000,0.000000,0.000000, 7
"Esteron [2 4-D]             ",0,"D8-46           ",    0, 2.0684,22.35,3,0.000325,0.000202,0.000157,0.000185,0.000279,0.000487,0.000712,0.001052,0.001708,0.002485,0.003597,0.006397,0.013529,0.023259,0.031690,0.047764,0.075812,0.108773,0.127407,0.143294,0.153821,0.127133,0.079714,0.035771,0.011511,0.002503,0.000380,0.000049,0.000006,0.000000,0.000000,0.000000, 7
"Esteron [2 4-D]             ",0,"D8-46           ",   45, 2.0684,22.35,3,0.000694,0.000379,0.000281,0.000322,0.000471,0.000789,0.001104,0.001555,0.002395,0.003303,0.004534,0.007615,0.015035,0.024092,0.031017,0.044754,0.068635,0.096320,0.112524,0.129072,0.145909,0.131766,0.094842,0.052492,0.022133,0.006458,0.001281,0.000200,0.000029,0.000000,0.000000,0.000000, 7
"Esteron [2 4-D]             ",0,"D8-46           ",   90, 2.0684,22.35,3,0.000805,0.000492,0.000377,0.000439,0.000654,0.001121,0.001604,0.002306,0.003619,0.005065,0.007020,0.011846,0.023303,0.036734,0.046074,0.064320,0.094451,0.124429,0.131073,0.135610,0.129926,0.096658,0.053517,0.021018,0.006073,0.001248,0.000190,0.000025,0.000003,0.000000,0.000000,0.000000, 6
"Esteron [2 4-D]             ",0,"RD-10/D8-46     ",    0, 2.0684,22.35,3,0.000148,0.000053,0.000036,0.000039,0.000054,0.000085,0.000111,0.000146,0.000211,0.000276,0.000363,0.000592,0.001153,0.001892,0.002593,0.004130,0.007346,0.012635,0.018882,0.029552,0.049411,0.075780,0.105849,0.132938,0.153772,0.156693,0.126251,0.079882,0.039126,0.000000,0.000000,0.000000,10
"Esteron [2 4-D]             ",0,"RD-10/D8-46     ",   45, 2.0684,22.35,3,0.000209,0.000082,0.000057,0.000062,0.000086,0.000137,0.000181,0.000242,0.000355,0.000470,0.000625,0.001029,0.002028,0.003350,0.004593,0.007272,0.012736,0.021307,0.030643,0.045739,0.072162,0.103401,0.132693,0.147055,0.149274,0.126663,0.083203,0.040151,0.014192,0.000000,0.000000,0.000000,10
"Esteron [2 4-D]             ",0,"RD-10/D8-46     ",   90, 2.0684,22.35,3,0.000308,0.000120,0.000083,0.000090,0.000126,0.000199,0.000261,0.000348,0.000507,0.000666,0.000880,0.001435,0.002787,0.004518,0.006069,0.009393,0.016009,0.025939,0.036098,0.052178,0.079684,0.110403,0.135878,0.144945,0.140581,0.114525,0.071871,0.032957,0.011142,0.000000,0.000000,0.000000,10
"Esteron [2 4-D]             ",0,"RD-7/D8-46      ",    0, 2.0684,22.35,3,0.000254,0.000099,0.000068,0.000074,0.000103,0.000164,0.000215,0.000287,0.000419,0.000552,0.000730,0.001195,0.002334,0.003813,0.005169,0.008085,0.013964,0.022995,0.032557,0.047885,0.074472,0.105252,0.133089,0.145547,0.145911,0.122688,0.080027,0.038446,0.013605,0.000000,0.000000,0.000000,10
"Esteron [2 4-D]             ",0,"RD-7/D8-46      ",   45, 2.0684,22.35,3,0.000326,0.000123,0.000084,0.000092,0.000127,0.000199,0.000260,0.000344,0.000498,0.000649,0.000851,0.001376,0.002647,0.004248,0.005660,0.008704,0.014762,0.023856,0.033204,0.048133,0.073933,0.103471,0.130045,0.142120,0.143462,0.122421,0.081980,0.041064,0.015361,0.000000,0.000000,0.000000,10
"Esteron [2 4-D]             ",0,"RD-7/D8-46      ",   90, 2.0684,22.35,3,0.000310,0.000130,0.000092,0.000101,0.000142,0.000228,0.000305,0.000413,0.000612,0.000818,0.001097,0.001816,0.003590,0.005914,0.008027,0.012487,0.021264,0.034157,0.046780,0.066159,0.098079,0.129737,0.147529,0.144630,0.123906,0.087240,0.044525,0.015797,0.004114,0.000000,0.000000,0.000000,10
"Esteron [2 4-D] 1:19        ",0,"D10             ",    0, 2.0684,22.35,3,0.000146,0.000047,0.000031,0.000033,0.000045,0.000070,0.000089,0.000115,0.000163,0.000209,0.000268,0.000427,0.000809,0.001288,0.001723,0.002693,0.004720,0.008064,0.012103,0.019248,0.033159,0.053138,0.078471,0.106263,0.138948,0.163015,0.160698,0.128055,0.085960,0.000000,0.000000,0.000000,10
"Esteron [2 4-D] 1:19        ",0,"D10-45          ",    0, 2.0684,22.35,3,0.000158,0.000113,0.000091,0.000111,0.000173,0.000315,0.000483,0.000751,0.001288,0.001985,0.003039,0.005740,0.013035,0.024047,0.034564,0.054085,0.087996,0.127254,0.145560,0.156850,0.152946,0.110207,0.055669,0.018511,0.004261,0.000678,0.000081,0.000009,0.000001,0.000000,0.000000,0.000000, 7
"Esteron [2 4-D] 1:19        ",0,"RD-10/D10-45    ",    0, 2.0684,22.35,3,0.000238,0.000085,0.000058,0.000062,0.000085,0.000133,0.000172,0.000226,0.000324,0.000420,0.000547,0.000880,0.001687,0.002709,0.003628,0.005636,0.009724,0.016133,0.023213,0.034970,0.056196,0.082882,0.111560,0.134356,0.149781,0.146514,0.114303,0.070114,0.033365,0.000000,0.000000,0.000000,10
"Foray 48B 19:1              ",0,"8004            ",   90, 2.7579,44.70,3,0.000457,0.000332,0.000268,0.000325,0.000503,0.000906,0.001369,0.002079,0.003455,0.005113,0.007458,0.013229,0.027403,0.045045,0.057816,0.081325,0.118315,0.148456,0.146184,0.133762,0.109335,0.063921,0.024975,0.006496,0.001262,0.000187,0.000023,0.000003,0.000000,0.000000,0.000000,0.000000, 5
