 2
2.2155E-01,1.7356E-01,1.4179E-01,1.2333E-01,1.1346E-01,1.0825E-01,1.0343E-01
9.7413E-02,9.0433E-02,8.4411E-02,8.0826E-02,7.8603E-02,7.5301E-02,6.9883E-02
6.4753E-02,6.1251E-02,5.8251E-02,5.5227E-02,5.2488E-02,5.0541E-02,4.8686E-02
4.6540E-02,4.4550E-02,4.2459E-02,3.9935E-02,3.7373E-02,3.5390E-02,3.3815E-02
3.2364E-02,3.1061E-02,2.9803E-02,2.8475E-02,2.7150E-02,2.5975E-02,2.4976E-02
2.4087E-02,2.3248E-02,2.2315E-02,2.1434E-02,2.0603E-02,1.9817E-02,1.9084E-02
1.8403E-02,1.7764E-02,1.7159E-02,1.6584E-02,1.6035E-02,1.5511E-02,1.5015E-02
1.4555E-02,1.4131E-02,1.3735E-02,1.3360E-02,1.2998E-02,1.2651E-02,1.2316E-02
1.1991E-02,1.1671E-02,1.1361E-02,1.1064E-02,1.0787E-02,1.0528E-02,1.0283E-02
1.0047E-02,9.8109E-03,9.5747E-03,9.3404E-03,9.1125E-03,8.8988E-03,8.7004E-03
8.5132E-03,8.3324E-03,8.1566E-03,7.9862E-03,7.8222E-03,7.6654E-03,7.5162E-03
7.3732E-03,7.2332E-03,7.0967E-03,6.9648E-03,6.8370E-03,6.7152E-03,6.5981E-03
6.4842E-03,6.3730E-03,6.2650E-03,6.1620E-03,6.0635E-03,5.9694E-03,5.8795E-03
5.7915E-03,5.7054E-03,5.6219E-03,5.5398E-03,5.4592E-03,5.3790E-03,5.3011E-03
5.2262E-03,5.1552E-03,5.0886E-03,5.0242E-03,4.9615E-03,4.9020E-03,4.8451E-03
4.7888E-03,4.7317E-03,4.6721E-03,4.6108E-03,4.5485E-03,4.4855E-03,4.4266E-03
4.3718E-03,4.3192E-03,4.2700E-03,4.2225E-03,4.1746E-03,4.1271E-03,4.0809E-03
4.0359E-03,3.9915E-03,3.9472E-03,3.9032E-03,3.8592E-03,3.8165E-03,3.7745E-03
3.7327E-03,3.6922E-03,3.6526E-03,3.6139E-03,3.5759E-03,3.5392E-03,3.5028E-03
3.4657E-03,3.4285E-03,3.3913E-03,3.3533E-03,3.3155E-03,3.2792E-03,3.2450E-03
3.2139E-03,3.1852E-03,3.1579E-03,3.1318E-03,3.1048E-03,3.0762E-03,3.0469E-03
3.0162E-03,2.9845E-03,2.9541E-03,2.9261E-03,2.9005E-03,2.8759E-03,2.8511E-03
2.8264E-03,2.8016E-03,2.7767E-03,2.7519E-03,2.7277E-03,2.7047E-03,2.6832E-03
2.6626E-03,2.6425E-03,2.6241E-03,2.6067E-03,2.5893E-03,2.5721E-03,2.5552E-03
2.5376E-03,2.5190E-03,2.4997E-03,2.4799E-03,2.4601E-03,2.4408E-03,2.4227E-03
2.4059E-03,2.3903E-03,2.3764E-03,2.3640E-03,2.3524E-03,2.3414E-03,2.3301E-03
2.3173E-03,2.3026E-03,2.2866E-03,2.2713E-03,2.2580E-03,2.2467E-03,2.2374E-03
2.2292E-03,2.2208E-03,2.2123E-03,2.2035E-03,2.1938E-03,2.1837E-03,2.1743E-03
2.1650E-03,2.1556E-03,2.1461E-03,2.1359E-03,2.1255E-03,2.1161E-03,2.1075E-03
2.0997E-03,2.0933E-03,2.0883E-03,2.0838E-03,2.0787E-03,2.0729E-03,2.0670E-03
2.0607E-03,2.0541E-03,2.0476E-03,2.0414E-03,2.0356E-03,2.0307E-03,2.0266E-03
2.0230E-03,2.0194E-03,2.0157E-03,2.0117E-03,2.0075E-03,2.0038E-03,2.0003E-03
1.9966E-03,1.9923E-03,1.9879E-03,1.9835E-03,1.9793E-03,1.9756E-03,1.9722E-03
1.9695E-03,1.9678E-03,1.9666E-03,1.9655E-03,1.9645E-03,1.9633E-03,1.9615E-03
1.9593E-03,1.9572E-03,1.9552E-03,1.9533E-03,1.9508E-03,1.9474E-03,1.9431E-03
1.9378E-03,1.9317E-03,1.9259E-03,1.9209E-03,1.9174E-03,1.9150E-03,1.9126E-03
1.9099E-03,1.9070E-03,1.9035E-03,1.8995E-03,1.8957E-03,1.8927E-03,1.8902E-03
1.8880E-03,1.8858E-03,1.8830E-03,1.8787E-03,1.8729E-03,1.8663E-03,1.8593E-03
1.8520E-03,1.8446E-03,1.8379E-03,1.8324E-03,1.8278E-03,1.8235E-03,1.8193E-03
